Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count
@davitjj_ oc na minha vida;Fláงiค🌻;arara_azul_;2020-11-27 21:30:22;Minas Gerais, Brasil;0;0;88;61
@arara_azul_ que jeito kkkkk que calúnia;cris;karevcris;2020-11-27 21:27:14;São Simão, Brasil;0;1;292;403
@liberato_netoo gatin, man tenho um óculos igual o seu KKKKKK;Fláงiค🌻;arara_azul_;2020-11-27 21:26:00;Minas Gerais, Brasil;0;1;88;61
Ambientalistas alertam para o aumento do número de apreensões de duas espécies símbolos da nossa biodiversidade: a arara-azul-grande e o mico-leão-dourado. Eles apontam para a fragilização dos órgãos ambientais e de fiscalização como possíveis fatores. https://t.co/C8bw4Ol31T;Uma Gota no Oceano;UmaGotaNoOceano;2020-11-27 21:20:00;Brasil;0;3;1176;10618
"só aqui no catete msm, dois caras na praia com uma arara azul 
????";gi;pnheirogeo;2020-11-27 19:25:38;;0;1;566;598
Eu até ia escutar a poesia acústica 78 mas tenho q ir traficar arara azul e tamanduá bandeira no centro da cidade🙏🏻;Monnerat;ngeloRivas3;2020-11-27 16:24:27;Aracaju, Brazil;0;3;387;149
@cynaramenezes Tá parecendo uma arara azul;Latitude 00';ntnbraga;2020-11-27 13:37:41;Brasil;0;1;495;83
@rebelhaechan kkkkkkkkkkk sim cor: arara azul;◡̈;ifmahae;2020-11-27 13:17:42;ela/dela;0;0;241;222
Arara azul , céu lindao segue a sexta🕊;T T E U🕊;Maestro_141;2020-11-27 12:46:21;PARAÍSO;0;1;707;713
"@BateBicoPodcast @desabrace A série “Que Bicho é Esse” é legal demaissssss. Amo todos os episódios, mas os da Harpia e Soldadinho do Araripe me encantaram ainda mais. 
Seria muito massa se convidassem a Neiva Guedes pra falar da Arara Azul";Birdwatcher sem esperanças 𓅪;birder_pistola;2020-11-27 11:29:46;;1;3;508;337
A jade do rio é uma arara azul né?;jade nao do rio;jadetiirllwall;2020-11-27 10:58:08;rpg acc;0;0;33;28
@hazzastyley não é tucano é arara azul;jade nao do rio;jadetiirllwall;2020-11-27 10:57:42;rpg acc;0;0;33;28
"Aqui está uma música para você… Nave de Metal de Arara Azul
https://t.co/tXU3zP69pG";Daniel'' Ferrari;DanielFerrariRS;2020-11-27 05:13:18;Torres , Rio Grande do Sul;0;0;988;812
@marialvl Não vou mais trabalhar com arara-azul 🥺😭;Mariazinha;Mariacysneiros;2020-11-27 02:25:49;Goiânia, Brasil;0;0;353;551
"@smileluaanjo Uma camisa do viva e a caneca da arara azul
BLACK FRIDAY LS SHOP";Maria 🕊️;loamisthebest;2020-11-27 02:00:20;𝖲𝗁𝖺𝗐𝗇 𝖬𝖾𝗇𝖽𝖾𝗌;0;0;2633;3062
@tomlisonbtch EU PENSEI WUE FOSSE UMA ARARA AZUL KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;Ari²⁸ ◟̽◞̽ || PROUD OF ASHE;lwtkingx91;2020-11-27 00:59:52;leeds;0;1;4892;7349
"""ta parecendo uma arara-azul"" 
melhor que egirl";⁷;owntxx;2020-11-27 00:38:33;⸙ INTP;0;0;333;423
aproveita essa black friday pega uma arara azul e um tamandua bandeira estorei a boa;guga;_guuga;2020-11-27 00:15:33;zona norte boa sorte;0;0;315;581
